train_loss	test_loss
3.789113954865046	3.789147167940133
3.7891143845512474	3.7891182481516057
3.7891196953153514	3.7891385974643983
3.7891085960994606	3.7891646873701696
3.7891101519392767	3.789130147414736
3.789111519116202	3.789165089640978
3.7891155763015707	3.789106446750903
3.7891087599967297	3.789131186854531
3.789099844863002	3.7891416197169963
3.7891112253013026	3.789149968171188
3.789117103111329	3.789146924701676
3.789112207875736	3.7891349004288633
3.789119645896329	3.7891257270667067
3.789117073685541	3.7891539335132722
