tissue	assay	species	filename	original
Pharyngeal_epidermis	ATAC	danio_rerio	GSE243256_hpf42_Pharyngeal_epidermis.narrow_peak.gz	GSE243256_hpf42_Pharyngeal_epidermis.narrow_peak.gz
Cranial_ganglia	ATAC	danio_rerio	GSE243256_hpf72_Cranial_ganglia.narrow_peak.gz	GSE243256_hpf72_Cranial_ganglia.narrow_peak.gz
Erythroid	ATAC	danio_rerio	GSE243256_hpf42_Erythroid.narrow_peak.gz	GSE243256_hpf42_Erythroid.narrow_peak.gz
Epidermal_foxi3a	ATAC	danio_rerio	GSE243256_hpf14_Epidermal_foxi3a.narrow_peak.gz	GSE243256_hpf14_Epidermal_foxi3a.narrow_peak.gz
Telencephalon	ATAC	danio_rerio	GSE243256_hpf20_Telencephalon.narrow_peak.gz	GSE243256_hpf20_Telencephalon.narrow_peak.gz
Epidermal_foxi3a	ATAC	danio_rerio	GSE243256_hpf24_Epidermal_foxi3a.narrow_peak.gz	GSE243256_hpf24_Epidermal_foxi3a.narrow_peak.gz
Posterior_ventral_phox2bb	ATAC	danio_rerio	GSE243256_hpf42_Posterior_ventral_phox2bb.narrow_peak.gz	GSE243256_hpf42_Posterior_ventral_phox2bb.narrow_peak.gz
Vessel_progenitor	ATAC	danio_rerio	GSE243256_hpf42_Vessel_progenitor.narrow_peak.gz	GSE243256_hpf42_Vessel_progenitor.narrow_peak.gz
Retina_pigmented_epithelium	ATAC	danio_rerio	GSE243256_hpf18_Retina_pigmented_epithelium.narrow_peak.gz	GSE243256_hpf18_Retina_pigmented_epithelium.narrow_peak.gz
YSL	ATAC	danio_rerio	GSE243256_hpf48_YSL.narrow_peak.gz	GSE243256_hpf48_YSL.narrow_peak.gz
Endothelial	ATAC	danio_rerio	GSE243256_hpf38_Endothelial.narrow_peak.gz	GSE243256_hpf38_Endothelial.narrow_peak.gz
Differentiating_neurons_dlx1a	ATAC	danio_rerio	GSE243256_hpf38_Differentiating_neurons_dlx1a.narrow_peak.gz	GSE243256_hpf38_Differentiating_neurons_dlx1a.narrow_peak.gz
Gut	ATAC	danio_rerio	GSE243256_hpf34_Gut.narrow_peak.gz	GSE243256_hpf34_Gut.narrow_peak.gz
Periderm	ATAC	danio_rerio	GSE243256_hpf11_Periderm.narrow_peak.gz	GSE243256_hpf11_Periderm.narrow_peak.gz
Telencephalon	ATAC	danio_rerio	GSE243256_hpf22_Telencephalon.narrow_peak.gz	GSE243256_hpf22_Telencephalon.narrow_peak.gz
Blood_island	ATAC	danio_rerio	GSE243256_hpf20_Blood_island.narrow_peak.gz	GSE243256_hpf20_Blood_island.narrow_peak.gz
Midbrain	ATAC	danio_rerio	GSE243256_hpf14_Midbrain.narrow_peak.gz	GSE243256_hpf14_Midbrain.narrow_peak.gz
Roofplate	ATAC	danio_rerio	GSE243256_hpf42_Roofplate.narrow_peak.gz	GSE243256_hpf42_Roofplate.narrow_peak.gz
Myotome	ATAC	danio_rerio	GSE243256_hpf30_Myotome.narrow_peak.gz	GSE243256_hpf30_Myotome.narrow_peak.gz
Diencephalon_aplnr2	ATAC	danio_rerio	GSE243256_hpf11_Diencephalon_aplnr2.narrow_peak.gz	GSE243256_hpf11_Diencephalon_aplnr2.narrow_peak.gz
Hindbrain_dorsal	ATAC	danio_rerio	GSE243256_hpf48_Hindbrain_dorsal.narrow_peak.gz	GSE243256_hpf48_Hindbrain_dorsal.narrow_peak.gz
Heart_field	ATAC	danio_rerio	GSE243256_hpf22_Heart_field.narrow_peak.gz	GSE243256_hpf22_Heart_field.narrow_peak.gz
Lateral_line_primordium	ATAC	danio_rerio	GSE243256_hpf48_Lateral_line_primordium.narrow_peak.gz	GSE243256_hpf48_Lateral_line_primordium.narrow_peak.gz
Midbrain_ventral	ATAC	danio_rerio	GSE243256_hpf24_Midbrain_ventral.narrow_peak.gz	GSE243256_hpf24_Midbrain_ventral.narrow_peak.gz
Notochord	ATAC	danio_rerio	GSE243256_hpf14_Notochord.narrow_peak.gz	GSE243256_hpf14_Notochord.narrow_peak.gz
Lens	ATAC	danio_rerio	GSE243256_hpf20_Lens.narrow_peak.gz	GSE243256_hpf20_Lens.narrow_peak.gz
Periderm	ATAC	danio_rerio	GSE243256_hpf22_Periderm.narrow_peak.gz	GSE243256_hpf22_Periderm.narrow_peak.gz
Epidermal_gbx2	ATAC	danio_rerio	GSE243256_hpf12_Epidermal_gbx2.narrow_peak.gz	GSE243256_hpf12_Epidermal_gbx2.narrow_peak.gz
Pharyngeal_arch	ATAC	danio_rerio	GSE243256_hpf38_Pharyngeal_arch.narrow_peak.gz	GSE243256_hpf38_Pharyngeal_arch.narrow_peak.gz
Tailbud_spinal_cord	ATAC	danio_rerio	GSE243256_hpf22_Tailbud_spinal_cord.narrow_peak.gz	GSE243256_hpf22_Tailbud_spinal_cord.narrow_peak.gz
Mesoderm_adaxial_cells	ATAC	danio_rerio	GSE243256_hpf9_Mesoderm_adaxial_cells.narrow_peak.gz	GSE243256_hpf9_Mesoderm_adaxial_cells.narrow_peak.gz
Slow_muscle_cells	ATAC	danio_rerio	GSE243256_hpf34_Slow_muscle_cells.narrow_peak.gz	GSE243256_hpf34_Slow_muscle_cells.narrow_peak.gz
Neural_crest	ATAC	danio_rerio	GSE243256_hpf72_Neural_crest.narrow_peak.gz	GSE243256_hpf72_Neural_crest.narrow_peak.gz
Pectoral_fin_field	ATAC	danio_rerio	GSE243256_hpf30_Pectoral_fin_field.narrow_peak.gz	GSE243256_hpf30_Pectoral_fin_field.narrow_peak.gz
Immune_cells	ATAC	danio_rerio	GSE243256_hpf18_Immune_cells.narrow_peak.gz	GSE243256_hpf18_Immune_cells.narrow_peak.gz
Neural_crest_derived_mesoderm	ATAC	danio_rerio	GSE243256_hpf38_Neural_crest_derived_mesoderm.narrow_peak.gz	GSE243256_hpf38_Neural_crest_derived_mesoderm.narrow_peak.gz
Slow_muscle_cells	ATAC	danio_rerio	GSE243256_hpf24_Slow_muscle_cells.narrow_peak.gz	GSE243256_hpf24_Slow_muscle_cells.narrow_peak.gz
Pigment_cells	ATAC	danio_rerio	GSE243256_hpf34_Pigment_cells.narrow_peak.gz	GSE243256_hpf34_Pigment_cells.narrow_peak.gz
Retina_pigmented_epithelium	ATAC	danio_rerio	GSE243256_hpf24_Retina_pigmented_epithelium.narrow_peak.gz	GSE243256_hpf24_Retina_pigmented_epithelium.narrow_peak.gz
Heart	ATAC	danio_rerio	GSE243256_hpf20_Heart.narrow_peak.gz	GSE243256_hpf20_Heart.narrow_peak.gz
Optic_cup	ATAC	danio_rerio	GSE243256_hpf22_Optic_cup.narrow_peak.gz	GSE243256_hpf22_Optic_cup.narrow_peak.gz
Erythroid	ATAC	danio_rerio	GSE243256_hpf30_Erythroid.narrow_peak.gz	GSE243256_hpf30_Erythroid.narrow_peak.gz
Fast_muscle_cells	ATAC	danio_rerio	GSE243256_hpf38_Fast_muscle_cells.narrow_peak.gz	GSE243256_hpf38_Fast_muscle_cells.narrow_peak.gz
Olfactory_placode	ATAC	danio_rerio	GSE243256_hpf18_Olfactory_placode.narrow_peak.gz	GSE243256_hpf18_Olfactory_placode.narrow_peak.gz
Differentiating_neurons_phox2bb	ATAC	danio_rerio	GSE243256_hpf72_Differentiating_neurons_phox2bb.narrow_peak.gz	GSE243256_hpf72_Differentiating_neurons_phox2bb.narrow_peak.gz
Retina_Cone_bipolar_cells	ATAC	danio_rerio	GSE243256_hpf48_Retina_Cone_bipolar_cells.narrow_peak.gz	GSE243256_hpf48_Retina_Cone_bipolar_cells.narrow_peak.gz
Telencephalon	ATAC	danio_rerio	GSE243256_hpf11_Telencephalon.narrow_peak.gz	GSE243256_hpf11_Telencephalon.narrow_peak.gz
Differentiating_neurons	ATAC	danio_rerio	GSE243256_hpf22_Differentiating_neurons.narrow_peak.gz	GSE243256_hpf22_Differentiating_neurons.narrow_peak.gz
Neural_crest_derived_mesoderm	ATAC	danio_rerio	GSE243256_hpf72_Neural_crest_derived_mesoderm.narrow_peak.gz	GSE243256_hpf72_Neural_crest_derived_mesoderm.narrow_peak.gz
Tailbud_spinal_cord	ATAC	danio_rerio	GSE243256_hpf14_Tailbud_spinal_cord.narrow_peak.gz	GSE243256_hpf14_Tailbud_spinal_cord.narrow_peak.gz
YSL	ATAC	danio_rerio	GSE243256_hpf30_YSL.narrow_peak.gz	GSE243256_hpf30_YSL.narrow_peak.gz
Olfactory_placode	ATAC	danio_rerio	GSE243256_hpf22_Olfactory_placode.narrow_peak.gz	GSE243256_hpf22_Olfactory_placode.narrow_peak.gz
Midbrain	ATAC	danio_rerio	GSE243256_hpf42_Midbrain.narrow_peak.gz	GSE243256_hpf42_Midbrain.narrow_peak.gz
Pectoral_fin_field	ATAC	danio_rerio	GSE243256_hpf42_Pectoral_fin_field.narrow_peak.gz	GSE243256_hpf42_Pectoral_fin_field.narrow_peak.gz
