tissue	assay	species	filename	original
Brain_Cancer_4:malignant,glioma,glioblastoma	ATAC	homo_sapiens	Brain_Cancer_4_ATAC.bed.gz	ENCFF901QFG
Brain_Lines_1:iPSC,Derived	ATAC	homo_sapiens	Brain_Lines_1_ATAC.bed.gz	ENCFF693QXF,ENCFF846GIW
Brain_Primary_1:Brain,fBrain	ATAC	homo_sapiens	Brain_Primary_1_ATAC.bed.gz	ENCFF208QLG,ENCFF226IIT,ENCFF018HMY,ENCFF504GXL
Brain_Primary_2:Brain	ATAC	homo_sapiens	Brain_Primary_2_ATAC.bed.gz	ENCFF774WTD
Brain_Primary_3:Braincerebellar,cortex	ATAC	homo_sapiens	Brain_Primary_3_ATAC.bed.gz	ENCFF236DAJ
Brain_Primary_4:Brain	ATAC	homo_sapiens	Brain_Primary_4_ATAC.bed.gz	ENCFF863INA,ENCFF046RPO,ENCFF235WPK,ENCFF207NFW,ENCFF320ZTT,ENCFF494FDP,ENCFF864ZOW
Brain_Primary_5:Brain,BrainGlobusPallidus	ATAC	homo_sapiens	Brain_Primary_5_ATAC.bed.gz	ENCFF303NDD,ENCFF847PIH,ENCFF614GHM,ENCFF085SMS,ENCFF329DTM,ENCFF470RDH,ENCFF771SSP,ENCFF499JSE,ENCFF292FRC,ENCFF382CBX,ENCFF566JXF,ENCFF830YOK
Brain_Primary_6:cerebellar,Microvascular,Endothelial,Astrocytes,Brain	ATAC	homo_sapiens	Brain_Primary_6_ATAC.bed.gz	ENCFF881ZJD,ENCFF794GGD,ENCFF409SEA,ENCFF494CSJ,ENCFF151MSN,ENCFF851HUC,ENCFF950VIS
Brain_Primary_7:Astrocytes	ATAC	homo_sapiens	Brain_Primary_7_ATAC.bed.gz	ENCFF565PME,ENCFF665CAR
Colon_Cancer_1:colorectal,adenocarcinoma	ATAC	homo_sapiens	Colon_Cancer_1_ATAC.bed.gz	ENCFF057FKC,ENCFF770FUZ,ENCFF399WEB,ENCFF757YTP
Colon_Cancer_2:colon,epithelial	ATAC	homo_sapiens	Colon_Cancer_2_ATAC.bed.gz	ENCFF353HJW,ENCFF821JQR
Colon_Cancer_3:Colorectal,pancreatic,carcinoma,adenocarcinoma,Colon	ATAC	homo_sapiens	Colon_Cancer_3_ATAC.bed.gz	ENCFF977BRD,ENCFF218NIR,ENCFF546YHJ,ENCFF145NZT,ENCFF764ZIL,ENCFF241UFK,ENCFF565KFN
Colon_Cancer_4:carcinoma,colon,adenocarcinoma	ATAC	homo_sapiens	Colon_Cancer_4_ATAC.bed.gz	ENCFF688BYX,ENCFF782FUL,ENCFF274VKS,ENCFF573QWQ
Esophagus_Primary_1:Esophageal,Epithelial	ATAC	homo_sapiens	Esophagus_Primary_1_ATAC.bed.gz	ENCFF178DMH,ENCFF542UXR
Eye_Cancer_1:Retinoblastoma	ATAC	homo_sapiens	Eye_Cancer_1_ATAC.bed.gz	ENCFF280EKL,ENCFF750MGN
