tissue	assay	species	filename	original
Skin_Lines_2:line,Adherent	ATAC	homo_sapiens	Skin_Lines_2_ATAC.bed.gz	ENCFF743EEY,ENCFF686SKC,ENCFF363FYU,ENCFF769CRH
Skin_Primary_1:SkinfibrolegRquad,Skinfibroback,Skinfibroupperback,Skinfibroscalp,SkinfibrobicepR,Skinfibroabdomen	ATAC	homo_sapiens	Skin_Primary_1_ATAC.bed.gz	ENCFF876HDE,ENCFF095PUJ,ENCFF262ZQB,ENCFF854VZE,ENCFF864DZZ,ENCFF164BRY
Skin_Primary_10:SkinKeratinocytes	ATAC	homo_sapiens	Skin_Primary_10_ATAC.bed.gz	ENCFF372RCK
Skin_Primary_2:Fibroblasts,Dermal	ATAC	homo_sapiens	Skin_Primary_2_ATAC.bed.gz	ENCFF590ISK,ENCFF097AIZ,ENCFF527QMQ
Skin_Primary_3:PGP1fibroblast	ATAC	homo_sapiens	Skin_Primary_3_ATAC.bed.gz	ENCFF588PPM,ENCFF885GKY,ENCFF605RRV
Skin_Primary_4:Endothelial,Dermal,Microvascular,Blood	ATAC	homo_sapiens	Skin_Primary_4_ATAC.bed.gz	ENCFF305WLT,ENCFF703DXO,ENCFF910LCD
Skin_Primary_5:Endothelial,Dermal,Microvascular,Blood	ATAC	homo_sapiens	Skin_Primary_5_ATAC.bed.gz	ENCFF354ETR,ENCFF536XJB,ENCFF773SCO,ENCFF220SQE,ENCFF957AKM,ENCFF637WSA,ENCFF517GXE,ENCFF184SHI
Skin_Primary_6:skin,fibroblast,Thigh,SkinfibrobicepL	ATAC	homo_sapiens	Skin_Primary_6_ATAC.bed.gz	ENCFF674RDW,ENCFF300MFZ,ENCFF695QKG,ENCFF451CDH,ENCFF360WBV,ENCFF274QLB,ENCFF690LLL,ENCFF098WUD,ENCFF511KEX,ENCFF037TXZ,ENCFF985BZO,ENCFF271YXI
Skin_Primary_7:skin,SkinFibroblasts,Fibroblasts,Toe,Dermal,fibroblast,Fibroblast	ATAC	homo_sapiens	Skin_Primary_7_ATAC.bed.gz	ENCFF628FUS,ENCFF440NLU,ENCFF150TZZ,ENCFF685NVQ,ENCFF546JLO,ENCFF080GJA,ENCFF221VRS,ENCFF849TGC,ENCFF250MFI,ENCFF542QQW,ENCFF210JHA,ENCFF387VJG
Skin_Primary_8:SkinMelanocytes	ATAC	homo_sapiens	Skin_Primary_8_ATAC.bed.gz	ENCFF899ZLK,ENCFF889UTF,ENCFF719DPE,ENCFF467ZNS
Skin_Primary_9:Epidermal,Normal,Keratinocytes,SkinKeratinocytes	ATAC	homo_sapiens	Skin_Primary_9_ATAC.bed.gz	ENCFF095DSQ,ENCFF870JPG,ENCFF800TVB,ENCFF746MXR,ENCFF785TDT
Small Intestine_Primary_1:IntestineSm	ATAC	homo_sapiens	Small Intestine_Primary_1_ATAC.bed.gz	ENCFF292SCK,ENCFF376ZDM,ENCFF119UQW,ENCFF506PUG,ENCFF992DWJ,ENCFF164WDR,ENCFF499CYQ,ENCFF149WBL,ENCFF323DFW,ENCFF709VYP
Small Intestine_Primary_2:IntestineSm,Small,mucosa,bowel	ATAC	homo_sapiens	Small Intestine_Primary_2_ATAC.bed.gz	ENCFF069BVT,ENCFF421CDT
Spinal Cord_Primary_1:Spinalcord	ATAC	homo_sapiens	Spinal Cord_Primary_1_ATAC.bed.gz	ENCFF856HXR
Spinal Cord_Primary_2:Spinal,Cord	ATAC	homo_sapiens	Spinal Cord_Primary_2_ATAC.bed.gz	ENCFF836HZX
Spinal Cord_Primary_3:Spinalcord	ATAC	homo_sapiens	Spinal Cord_Primary_3_ATAC.bed.gz	ENCFF659WWM,ENCFF227OQJ,ENCFF506FIK,ENCFF266NMV,ENCFF702IOI,ENCFF853SSO
Spinal Cord_Primary_4:cord,Astrocytes,spinal	ATAC	homo_sapiens	Spinal Cord_Primary_4_ATAC.bed.gz	ENCFF457OIV
Spleen_Primary_0:Spleen	ATAC	homo_sapiens	Spleen_Primary_0_ATAC.bed.gz	ENCFF142HTH
Stomach_Primary_1:Stomach	ATAC	homo_sapiens	Stomach_Primary_1_ATAC.bed.gz	ENCFF740ZEY,ENCFF441XNG,ENCFF767HRR,ENCFF701UCE,ENCFF062XZJ,ENCFF461IBP,ENCFF431DWM,ENCFF154SRI,ENCFF704MHB,ENCFF630RQZ,ENCFF467SEV,ENCFF111JIP
Stomach_Primary_2:Stomach	ATAC	homo_sapiens	Stomach_Primary_2_ATAC.bed.gz	ENCFF529RXJ,ENCFF156RFR
Stroma_Lines_1:line,Stromal	ATAC	homo_sapiens	Stroma_Lines_1_ATAC.bed.gz	ENCFF786UQM,ENCFF418ERA
Stroma_Primary_1:Bone,marrow,stromal	ATAC	homo_sapiens	Stroma_Primary_1_ATAC.bed.gz	ENCFF188TFX,ENCFF874XWG
Tongue_Primary_1:Tongue	ATAC	homo_sapiens	Tongue_Primary_1_ATAC.bed.gz	ENCFF482NQB,ENCFF188NLP
Tongue_Primary_2:Tongue	ATAC	homo_sapiens	Tongue_Primary_2_ATAC.bed.gz	ENCFF103JOQ
Umbilical Cord_Primary_1:Umbilicalcord,vein,umbilical,endothelial	ATAC	homo_sapiens	Umbilical Cord_Primary_1_ATAC.bed.gz	ENCFF940QIP,ENCFF267RUD
Umbilical Cord_Primary_2:Umbilicalcord	ATAC	homo_sapiens	Umbilical Cord_Primary_2_ATAC.bed.gz	ENCFF133TDW
Umbilical_Primary_0:vein,umbilical,endothelial	ATAC	homo_sapiens	Umbilical_Primary_0_ATAC.bed.gz	ENCFF011FHJ
Uterus_Cancer_1:adherent,cervical,adenocarcinoma	ATAC	homo_sapiens	Uterus_Cancer_1_ATAC.bed.gz	ENCFF503PAE,ENCFF782HVG,ENCFF309DYE
Uterus_Cancer_2:adherent,cervical,adenocarcinoma	ATAC	homo_sapiens	Uterus_Cancer_2_ATAC.bed.gz	ENCFF898KEE
Vascular_Primary_1:Smooth,Vascular,Muscle,Brain	ATAC	homo_sapiens	Vascular_Primary_1_ATAC.bed.gz	ENCFF876LIP,ENCFF461IZS
