tissue	assay	species	filename	original
NPC_Day2	ATAC	rattus_norvegicus	GSE164361_rat_NPC_Day2_ATAC_idr.output.bed.gz	GSE164361_rat_NPC_Day2_ATAC_idr.output.bed.gz
NPC_Day6	ATAC	rattus_norvegicus	GSE164361_rat_NPC_Day6_ATAC_idr.output.bed.gz	GSE164361_rat_NPC_Day6_ATAC_idr.output.bed.gz
NPC_Day2	ATAC	homo_sapiens	GSE164361_human_NPC_Day2_ATAC_idr.output.bed.gz	GSE164361_human_NPC_Day2_ATAC_idr.output.bed.gz
NPC_Day5	ATAC	rattus_norvegicus	GSE164361_rat_NPC_Day5_ATAC_idr.output.bed.gz	GSE164361_rat_NPC_Day5_ATAC_idr.output.bed.gz
NPC_Day3	ATAC	rattus_norvegicus	GSE164361_rat_NPC_Day3_ATAC_idr.output.bed.gz	GSE164361_rat_NPC_Day3_ATAC_idr.output.bed.gz
DE_Day1	ATAC	homo_sapiens	GSE164361_human_DE_Day1_ATAC_idr.output.bed.gz	GSE164361_human_DE_Day1_ATAC_idr.output.bed.gz
DE_Day4	ATAC	homo_sapiens	GSE164361_human_DE_Day4_ATAC_idr.output.bed.gz	GSE164361_human_DE_Day4_ATAC_idr.output.bed.gz
NPC_Day4	ATAC	rattus_norvegicus	GSE164361_rat_NPC_Day4_ATAC_idr.output.bed.gz	GSE164361_rat_NPC_Day4_ATAC_idr.output.bed.gz
DE_Day1	ATAC	rattus_norvegicus	GSE164361_rat_DE_Day1_ATAC_idr.output.bed.gz	GSE164361_rat_DE_Day1_ATAC_idr.output.bed.gz
NPC_Day5	ATAC	homo_sapiens	GSE164361_human_NPC_Day5_ATAC_idr.output.bed.gz	GSE164361_human_NPC_Day5_ATAC_idr.output.bed.gz
DE_Day3	ATAC	homo_sapiens	GSE164361_human_DE_Day3_ATAC_idr.output.bed.gz	GSE164361_human_DE_Day3_ATAC_idr.output.bed.gz
NPC_Day7	ATAC	homo_sapiens	GSE164361_human_NPC_Day7_ATAC_idr.output.bed.gz	GSE164361_human_NPC_Day7_ATAC_idr.output.bed.gz
NPC_Day8	ATAC	rattus_norvegicus	GSE164361_rat_NPC_Day8_ATAC_idr.output.bed.gz	GSE164361_rat_NPC_Day8_ATAC_idr.output.bed.gz
NPC_Day6	ATAC	homo_sapiens	GSE164361_human_NPC_Day6_ATAC_idr.output.bed.gz	GSE164361_human_NPC_Day6_ATAC_idr.output.bed.gz
DE_Day5	ATAC	homo_sapiens	GSE164361_human_DE_Day5_ATAC_idr.output.bed.gz	GSE164361_human_DE_Day5_ATAC_idr.output.bed.gz
DE_Day2	ATAC	homo_sapiens	GSE164361_human_DE_Day2_ATAC_idr.output.bed.gz	GSE164361_human_DE_Day2_ATAC_idr.output.bed.gz
DE_Day6	ATAC	rattus_norvegicus	GSE164361_rat_DE_Day6_ATAC_idr.output.bed.gz	GSE164361_rat_DE_Day6_ATAC_idr.output.bed.gz
NPC_Day3	ATAC	homo_sapiens	GSE164361_human_NPC_Day3_ATAC_idr.output.bed.gz	GSE164361_human_NPC_Day3_ATAC_idr.output.bed.gz
NPC_Day1	ATAC	homo_sapiens	GSE164361_human_NPC_Day1_ATAC_idr.output.bed.gz	GSE164361_human_NPC_Day1_ATAC_idr.output.bed.gz
DE_Day7	ATAC	rattus_norvegicus	GSE164361_rat_DE_Day7_ATAC_idr.output.bed.gz	GSE164361_rat_DE_Day7_ATAC_idr.output.bed.gz
NPC_Day7	ATAC	rattus_norvegicus	GSE164361_rat_NPC_Day7_ATAC_idr.output.bed.gz	GSE164361_rat_NPC_Day7_ATAC_idr.output.bed.gz
NPC_Day8	ATAC	homo_sapiens	GSE164361_human_NPC_Day8_ATAC_idr.output.bed.gz	GSE164361_human_NPC_Day8_ATAC_idr.output.bed.gz
DE_Day3	ATAC	rattus_norvegicus	GSE164361_rat_DE_Day3_ATAC_idr.output.bed.gz	GSE164361_rat_DE_Day3_ATAC_idr.output.bed.gz
ESC_Day0	ATAC	rattus_norvegicus	GSE164361_rat_ESC_Day0_ATAC_idr.output.bed.gz	GSE164361_rat_ESC_Day0_ATAC_idr.output.bed.gz
ESC_Day0	ATAC	homo_sapiens	GSE164361_human_ESC_Day0_ATAC_idr.output.bed.gz	GSE164361_human_ESC_Day0_ATAC_idr.output.bed.gz
DE_Day2	ATAC	rattus_norvegicus	GSE164361_rat_DE_Day2_ATAC_idr.output.bed.gz	GSE164361_rat_DE_Day2_ATAC_idr.output.bed.gz
DE_Day5	ATAC	rattus_norvegicus	GSE164361_rat_DE_Day5_ATAC_idr.output.bed.gz	GSE164361_rat_DE_Day5_ATAC_idr.output.bed.gz
DE_Day4	ATAC	rattus_norvegicus	GSE164361_rat_DE_Day4_ATAC_idr.output.bed.gz	GSE164361_rat_DE_Day4_ATAC_idr.output.bed.gz
NPC_Day1	ATAC	rattus_norvegicus	GSE164361_rat_NPC_Day1_ATAC_idr.output.bed.gz	GSE164361_rat_NPC_Day1_ATAC_idr.output.bed.gz
