train_loss	test_loss
2.912037398344934	2.9137577668340504
2.9121316751947015	2.9137839851258387
2.9120795255609973	2.913844380465696
2.9119740718183715	2.913650479796952
2.9120032455096516	2.9139672857159002
2.9120155359519604	2.9138919475246854
2.9121089199017014	2.9140711212611974
2.912095018798934	2.9136521519412133
2.912016002675823	2.913955758432847
2.9120126097124324	2.913919076004452
2.9119877808630408	2.9139809062044173
2.9119614471647264	2.9140517499879843
2.9119911224093027	2.914007049435004
