tissue	assay	species	filename	original
Spleen	H3K27ac	bos_taurus	Spleen_H3K27ac_bos_taurus.bed.gz	GSM4799763_H3K27ac_Spleen_M22_Peaks.bed.gz,GSM4799762_H3K27ac_Spleen_M08_Peaks.bed.gz
Liver	ATAC	sus_scrofa	Liver_ATAC_sus_scrofa.bed.gz	GSM4799624_ATAC_Liver_P350_Peaks.bed.gz,GSM4799623_ATAC_Liver_P348_Peaks.bed.gz
Hypothalamus	ATAC	sus_scrofa	Hypothalamus_ATAC_sus_scrofa.bed.gz	GSM4799620_ATAC_Hypothalamus_P350_Peaks.bed.gz,GSM4799619_ATAC_Hypothalamus_P348_Peaks.bed.gz
Lung	H3K27ac	sus_scrofa	Lung_H3K27ac_sus_scrofa.bed.gz	GSM4799752_H3K27ac_Lung_P348_Peaks.bed.gz,GSM4799753_H3K27ac_Lung_P350_Peaks.bed.gz
Liver	ATAC	bos_taurus	Liver_ATAC_bos_taurus.bed.gz	GSM4799622_ATAC_Liver_M22_Peaks.bed.gz,GSM4799621_ATAC_Liver_M08_Peaks.bed.gz
Cerebellum	H3K27ac	bos_taurus	Cerebellum_H3K27ac_bos_taurus.bed.gz	GSM4799726_H3K27ac_Cerebellum_M08_Peaks.bed.gz,GSM4799727_H3K27ac_Cerebellum_M22_Peaks.bed.gz
Spleen	H3K27ac	sus_scrofa	Spleen_H3K27ac_sus_scrofa.bed.gz	GSM4799765_H3K27ac_Spleen_P350_Peaks.bed.gz,GSM4799764_H3K27ac_Spleen_P348_Peaks.bed.gz
Adipose	ATAC	bos_taurus	Adipose_ATAC_bos_taurus.bed.gz	GSM4799606_ATAC_Adipose_M08_Peaks.bed.gz,GSM4799607_ATAC_Adipose_M22_Peaks.bed.gz
Muscle	H3K27ac	bos_taurus	Muscle_H3K27ac_bos_taurus.bed.gz	GSM4799756_H3K27ac_Muscle_M08_Peaks.bed.gz,GSM4799757_H3K27ac_Muscle_M22_Peaks.bed.gz
Cerebellum	ATAC	bos_taurus	Cerebellum_ATAC_bos_taurus.bed.gz	GSM4799610_ATAC_Cerebellum_M22_Peaks.bed.gz
Cortex	H3K27ac	sus_scrofa	Cortex_H3K27ac_sus_scrofa.bed.gz	GSM4799734_H3K27ac_Cortex_P348_Peaks.bed.gz,GSM4799735_H3K27ac_Cortex_P350_Peaks.bed.gz
Spleen	H3K27ac	gallus_gallus	Spleen_H3K27ac_gallus_gallus.bed.gz	GSM4799761_H3K27ac_Spleen_B_Peaks.bed.gz,GSM4799760_H3K27ac_Spleen_A_Peaks.bed.gz
Spleen	ATAC	sus_scrofa	Spleen_ATAC_sus_scrofa.bed.gz	GSM4799636_ATAC_Spleen_P350_Peaks.bed.gz,GSM4799635_ATAC_Spleen_P348_Peaks.bed.gz
Lung	H3K27ac	gallus_gallus	Lung_H3K27ac_gallus_gallus.bed.gz	GSM4799749_H3K27ac_Lung_B_Peaks.bed.gz,GSM4799748_H3K27ac_Lung_A_Peaks.bed.gz
Hypothalamus	H3K27ac	bos_taurus	Hypothalamus_H3K27ac_bos_taurus.bed.gz	GSM4799739_H3K27ac_Hypothalamus_M22_Peaks.bed.gz,GSM4799738_H3K27ac_Hypothalamus_M08_Peaks.bed.gz
Liver	H3K27ac	bos_taurus	Liver_H3K27ac_bos_taurus.bed.gz	GSM4799744_H3K27ac_Liver_M08_Peaks.bed.gz,GSM4799745_H3K27ac_Liver_M22_Peaks.bed.gz
Lung	ATAC	sus_scrofa	Lung_ATAC_sus_scrofa.bed.gz	GSM4799628_ATAC_Lung_P350_Peaks.bed.gz,GSM4799627_ATAC_Lung_P348_Peaks.bed.gz
Liver	H3K27ac	sus_scrofa	Liver_H3K27ac_sus_scrofa.bed.gz	GSM4799746_H3K27ac_Liver_P348_Peaks.bed.gz,GSM4799747_H3K27ac_Liver_P350_Peaks.bed.gz
Lung	ATAC	bos_taurus	Lung_ATAC_bos_taurus.bed.gz	GSM4799626_ATAC_Lung_M22_Peaks.bed.gz,GSM4799625_ATAC_Lung_M08_Peaks.bed.gz
Hypothalamus	H3K27ac	sus_scrofa	Hypothalamus_H3K27ac_sus_scrofa.bed.gz	GSM4799740_H3K27ac_Hypothalamus_P348_Peaks.bed.gz,GSM4799741_H3K27ac_Hypothalamus_P350_Peaks.bed.gz
Cerebellum	H3K27ac	gallus_gallus	Cerebellum_H3K27ac_gallus_gallus.bed.gz	GSM4799725_H3K27ac_Cerebellum_B_Peaks.bed.gz,GSM4799724_H3K27ac_Cerebellum_A_Peaks.bed.gz
Muscle	H3K27ac	sus_scrofa	Muscle_H3K27ac_sus_scrofa.bed.gz	GSM4799759_H3K27ac_Muscle_P350_Peaks.bed.gz,GSM4799758_H3K27ac_Muscle_P348_Peaks.bed.gz
Cortex	H3K27ac	bos_taurus	Cortex_H3K27ac_bos_taurus.bed.gz	GSM4799733_H3K27ac_Cortex_M22_Peaks.bed.gz,GSM4799732_H3K27ac_Cortex_M08_Peaks.bed.gz
Adipose	H3K27ac	bos_taurus	Adipose_H3K27ac_bos_taurus.bed.gz	GSM4799720_H3K27ac_Adipose_M08_Peaks.bed.gz,GSM4799721_H3K27ac_Adipose_M22_Peaks.bed.gz
Muscle	ATAC	bos_taurus	Muscle_ATAC_bos_taurus.bed.gz	GSM4799630_ATAC_Muscle_M22_Peaks.bed.gz,GSM4799629_ATAC_Muscle_M08_Peaks.bed.gz
Adipose	H3K27ac	sus_scrofa	Adipose_H3K27ac_sus_scrofa.bed.gz	GSM4799722_H3K27ac_Adipose_P348_Peaks.bed.gz,GSM4799723_H3K27ac_Adipose_P350_Peaks.bed.gz
Adipose	H3K27ac	gallus_gallus	Adipose_H3K27ac_gallus_gallus.bed.gz	GSM4799718_H3K27ac_Adipose_A_Peaks.bed.gz,GSM4799719_H3K27ac_Adipose_B_Peaks.bed.gz
Cerebellum	H3K27ac	sus_scrofa	Cerebellum_H3K27ac_sus_scrofa.bed.gz	GSM4799729_H3K27ac_Cerebellum_P350_Peaks.bed.gz,GSM4799728_H3K27ac_Cerebellum_P348_Peaks.bed.gz
Liver	H3K27ac	gallus_gallus	Liver_H3K27ac_gallus_gallus.bed.gz	GSM4799743_H3K27ac_Liver_B_Peaks.bed.gz,GSM4799742_H3K27ac_Liver_A_Peaks.bed.gz
Lung	H3K27ac	bos_taurus	Lung_H3K27ac_bos_taurus.bed.gz	GSM4799750_H3K27ac_Lung_M08_Peaks.bed.gz,GSM4799751_H3K27ac_Lung_M22_Peaks.bed.gz
Muscle	ATAC	sus_scrofa	Muscle_ATAC_sus_scrofa.bed.gz	GSM4799631_ATAC_Muscle_P348_Peaks.bed.gz,GSM4799632_ATAC_Muscle_P350_Peaks.bed.gz
Cerebellum	ATAC	sus_scrofa	Cerebellum_ATAC_sus_scrofa.bed.gz	GSM4799611_ATAC_Cerebellum_P348_Peaks.bed.gz,GSM4799612_ATAC_Cerebellum_P350_Peaks.bed.gz
Cortex	ATAC	sus_scrofa	Cortex_ATAC_sus_scrofa.bed.gz	GSM4799616_ATAC_Cortex_P350_Peaks.bed.gz,GSM4799615_ATAC_Cortex_P348_Peaks.bed.gz
Cortex	ATAC	bos_taurus	Cortex_ATAC_bos_taurus.bed.gz	GSM4799614_ATAC_Cortex_M22_Peaks.bed.gz,GSM4799613_ATAC_Cortex_M08_Peaks.bed.gz
Hypothalamus	ATAC	bos_taurus	Hypothalamus_ATAC_bos_taurus.bed.gz	GSM4799618_ATAC_Hypothalamus_M22_Peaks.bed.gz,GSM4799617_ATAC_Hypothalamus_M08_Peaks.bed.gz
